Starting to train....

===== SIGMA: 1.0 =====
step 3300 Loss: 0.01802035
step 3400 Loss: 0.01785024
step 3500 Loss: 0.01767129
step 3600 Loss: 0.01754450
step 3700 Loss: 0.01740485
step 3800 Loss: 0.01735856
step 3900 Loss: 0.01712700
step 4000 Loss: 0.01717735
step 4100 Loss: 0.01717098
step 4200 Loss: 0.01705301
step 4300 Loss: 0.01692351
step 4400 Loss: 0.01683796
step 4500 Loss: 0.01674998
step 4600 Loss: 0.01676675
step 4700 Loss: 0.01682734
step 4800 Loss: 0.01685426
step 4900 Loss: 0.01688892
step 5000 Loss: 0.01696367
step 5100 Loss: 0.01722545
step 5200 Loss: 0.01711728
step 5300 Loss: 0.01707198
step 5400 Loss: 0.01692831
step 5500 Loss: 0.01687836
step 5600 Loss: 0.01684067
step 5700 Loss: 0.01682561
step 5800 Loss: 0.01680286
step 5900 Loss: 0.01680488
step 6000 Loss: 0.01677249
step 6100 Loss: 0.01668355
step 6200 Loss: 0.01696706
step 6300 Loss: 0.01645932
step 6400 Loss: 0.01628127
step 6500 Loss: 0.01695052
step 6600 Loss: 0.01605088
step 6700 Loss: 0.01667949
step 6800 Loss: 0.01608975
step 6900 Loss: 0.01645011
step 7000 Loss: 0.01622065
step 7100 Loss: 0.01623417
step 7200 Loss: 0.01623627
step 7300 Loss: 0.01619182
step 7400 Loss: 0.01618792
step 7500 Loss: 0.01618401
step 7600 Loss: 0.01618083
step 7700 Loss: 0.01617226
step 7800 Loss: 0.01613961
step 7900 Loss: 0.01623656
step 8000 Loss: 0.01627953
step 8100 Loss: 0.01633955
step 8200 Loss: 0.01638643
step 8300 Loss: 0.01645925
step 8400 Loss: 0.01639597
step 8500 Loss: 0.01640510
step 8600 Loss: 0.01644197
step 8700 Loss: 0.01653132
step 8800 Loss: 0.01673531
step 8900 Loss: 0.01656033
step 9000 Loss: 0.01669830
step 9100 Loss: 0.01650141
step 9200 Loss: 0.01636290
step 9300 Loss: 0.01639626
step 9400 Loss: 0.01637308
step 9500 Loss: 0.01638554
step 9600 Loss: 0.01649220
step 9700 Loss: 0.01754279
step 9800 Loss: 0.05053789
step 9900 Loss: 0.01976027
step 10000 Loss: 0.01958863
Starting to testing...
Test Loss: 0.30755995
